url	name	num_tracks	duration	owner	likes	num_reposts	tag	posted_on
https://soundcloud.com/kimminmiter/sets/glitch	EDM	430	29:21:52	cerulean, etc.	2	0	Dance & EDM	25 March 2015
https://soundcloud.com/murlocmusic/sets/edm	EDM	496	41:04:17	Murloc	2	0	Dance & EDM	31 January 2019
https://soundcloud.com/prodsilvio/sets/dubstep-lo	EDM	498	29:06:38	SILVIO	0	0	Dance & EDM	2 July 2019
https://soundcloud.com/d4n3/sets/edm	EDM	403	27:22:46	Zybrix	0	0	Dance & EDM	14 June 2019
https://soundcloud.com/ishaan-singh-21/sets/edm	EDM	348	23:19:56	Ishaan Singh	1	0	Dance & EDM	23 August 2016
https://soundcloud.com/nikesgod/sets/beat	edm	367	25:41:29	hailey	1	0	Dance & EDM	24 February 2015
https://soundcloud.com/qu-n-v-296081709/sets/nh-c	EDM	399	25:36:32	Quân Vũ	2	0	Dance & EDM	29 January 2019
https://soundcloud.com/thewalloflino/sets/edmmm	EDM	400	56:36:42	ItalianStallion	3	0	Dance & EDM	16 December 2017
https://soundcloud.com/jorgevillatoro-1/sets/edm	EDM	338	24:05:36	jorgevillatoro	0	0	Dance & EDM	20 April 2015
https://soundcloud.com/maynidee/sets/edm	edm	389	22:07:15	M4[ID]	1	0	Dance & EDM	10 November 2020
https://soundcloud.com/makrsty/sets/edm	EDM	339	102:57:54	makrsty	1	0	Dance & EDM	17 June 2015
https://soundcloud.com/carsen-holtmann/sets/weird	EDM	421	26:06:46	Carsen	0	0	Dance & EDM	29 May 2020
https://soundcloud.com/abortina/sets/edm	EDM	377	53:08:40	Gab Cortina	7	0	Dance & EDM	26 January 2017
https://soundcloud.com/ethan-forray-molica/sets/edm-1	EDM	418	67:41:10	Ethan Forray-Molica	0	0	Dance & EDM	18 September 2019
https://soundcloud.com/user-364079235-269153603/sets/e-d-m	E.D.M.	484	31:44:48	Cumulo	2	0	Dance & EDM	26 October 2019
https://soundcloud.com/digitalstreams/sets/top40	Best of G-House (Vol. 01)	28	1:48:12	Westcoast Radio (EDM)	16.8K	965	Dance & EDM	4 September 2015
https://soundcloud.com/nicholas-mei/sets/favorites	EDM	330	21:40:48	Nicholas Mei	1	0	Dance & EDM	27 June 2015
https://soundcloud.com/angelo-koutsavlis/sets/edm	EDM	319	99:31:48	Angelo Koutsavlis	9	2	Dance & EDM	28 February 2016
https://soundcloud.com/insyncd/sets/edm	EDM	320	24:00:33	i n s y n c d	0	0	Dance & EDM	15 April 2015
https://soundcloud.com/dieserkonsti/sets/edm-new	EDM	258	14:51:14	DieserKonsti	6	1	Dance & EDM	13 August 2017
https://soundcloud.com/eyes-so-low/sets/edm	EDM	295	21:29:50	Eyes So Low	2	0	Dance & EDM	5 January 2017
https://soundcloud.com/chris-gartrell/sets/edm	EDM	345	56:51:21	Chris Gartrell	3	0	Dance & EDM	24 August 2016
https://soundcloud.com/kyaban-897212671/sets/edm-1	EDM	321	20:35:50	Meme Lord 69	5	0	Dance & EDM	30 May 2018
