title	user	upload_time	number_of_play	number of comment	like	repost
Inspirado En Mexico	TroyBoi	5 months ago	62,089 plays	72 comments	2,953	351
Corneta ft Tropkillaz	TroyBoi	9 months ago	97,814 plays	66 comments	3,459	233
Bellz	TroyBoi	9 months ago	152,986 plays	95 comments	5,306	441
Unstoppable	TroyBoi	9 months ago	85,801 plays	47 comments	2,072	147
Clear Waters	TroyBoi	9 months ago	42,629 plays	34 comments	1,346	118
Baby	TroyBoi	9 months ago	64,505 plays	25 comments	1,591	94
Eyez On Me ft Nina Sky	TroyBoi	9 months ago	82,984 plays	55 comments	2,687	245
ARTIX! - LEAGUE OF RIDDIM EP ( EXCLUSIVE FOR SALE LIMITED )	ARTIX!™	2 months ago	15,499 plays	117 comments	1,131	130
NGAY MOT NGUOI DI XA	vitcon.drrs	4 months ago	18,178 plays	16 comments	325	36
CHAC ANH DANG - TIEN TIEN & TRANG ( DARRYS EDIT )	vitcon.drrs	3 years ago	542,490 plays	86 comments	5,830	770
TIM MOT NGUOI NHU THE	vitcon.drrs	4 years ago	984,746 plays	182 comments	10K	1,149
BIGCITYBOI	Touliver	1 year ago	8,427,134 plays	684 comments	54.7K	1,855
IN DA MORNING	Touliver	1 year ago	115,270 plays	49 comments	1,655	146
BInz - Thôi Anh Không Chơi [ Touliver Remix ]	Touliver	2 years ago	583,384 plays	65 comments	5,383	242
NÓI ĐIÊU LÀM CHÓ	Touliver	2 years ago	100,758 plays	12 comments	1,241	84
DUSTED ( Feat. Mr.A , DUSTEE )	Touliver	2 years ago	197,073 plays	16 comments	2,201	155
EM KHONG THE [ INSTRUMENTAL ]	Touliver	3 years ago	63,400 plays	5 comments	697	98
EM KHONG THE	Touliver	3 years ago	7,273,673 plays	288 comments	44.5K	2,025
Rhymastic - NENVAHOA ( TLVR RMX )	Touliver	3 years ago	181,458 plays	13 comments	2,365	185
CATENA ( INSTRU )	Touliver	3 years ago	134,952 plays	20 comments	1,711	226
GOML	Touliver	3 years ago	41,731 plays	6 comments	288	37
EM OI CU VUI ( ORIGINAL )	Touliver	3 years ago	659,130 plays	52 comments	6,598	470
RHYMASTIC - KHI MAN HINH TAT ( TLVR RMX )	Touliver	3 years ago	203,342 plays	59 comments	2,482	275
TOULIVER X DJ GIN - GINTONIC	Touliver	3 years ago	115,711 plays	39 comments	1,808	243
I KNOW ( TLVR RMX )	Touliver	3 years ago	140,844 plays	35 comments	1,746	204
ILABYOU ( TLVR RMX )	Touliver	4 years ago	137,933 plays	23 comments	1,779	258
Kompany X Subtronics - Wicked Witch (Elias Code Flip) [Free Download]	Elias Code	11 months ago	897 plays	9 comments	73	17
Excision & Downlink - Resistance (Elias Code Edit)[FREE DL]	Elias Code	1 year ago	3,119 plays	27 comments	250	46
MVSTAKE X DVEIGHT - BASS GO(Elias Code Remix)[FREE DOWNLOAD]	Elias Code	1 year ago	1,373 plays	17 comments	97	24
MARAUDA - Casket VIP (Elias Code Rɛmix)[Free Download + Bonus Samples]	Elias Code	1 year ago	6,761 plays	49 comments	410	81
Elias Code - Duck Dinner [20k Special][FREE DOWNLOAD]	Elias Code	1 year ago	812 plays	19 comments	61	16
PhaseOne & Jiqui - Subterrestrial	PhaseOne	14 days ago	27,954 plays	88 comments	2,683	309
Northlane - Sleepless (PhaseOne Remix)	PhaseOne	8 months ago	48,183 plays	50 comments	2,439	346
The Sounds Of Mayhem Vol.2	PhaseOne	8 months ago	169,412 plays	990 comments	9,519	1,113
Metalstep Mayhem Vol 1 (Sample Pack Demo) OUT NOW ON SPLICE	PhaseOne	10 months ago	32,055 plays	60 comments	1,247	160
Tisoki & Benda - Tommy Gun (feat. Wifisfuneral) [Aweminus Remix]	Aweminus	2 days ago	1,785 plays	33 comments	385	66
Aweminus - Make Some Noise	Aweminus	1 month ago	42,069 plays	363 comments	3,584	553
MUST DIE! - DELETE IT ALL Ft. Ducky (Oolacile & Aweminus Remix)	Aweminus	2 months ago	39,135 plays	308 comments	2,127	307
Aweminus - Grain Tune	Aweminus	7 months ago	89,096 plays	374 comments	5,383	768
Aweminus - Sea Shanty	Aweminus	7 months ago	144,490 plays	391 comments	7,188	998
Aweminus - Intagalactic	Aweminus	11 months ago	71,303 plays	199 comments	3,953	542
Calcium - Frozen (Aweminus Remix)	Aweminus	11 months ago	103,765 plays	280 comments	5,944	836
Covid Cutz [Noiseporn Premiere]	Aweminus	1 year ago	51,663 plays	104 comments	2,740	367
UGHH	Aweminus	1 year ago	104,849 plays	292 comments	5,632	745
Cracc Rocc [TRILLVO Premiere]	Aweminus	1 year ago	66,715 plays	179 comments	3,543	529
Bushbaby - Naughty Pleasure (NuKid Remix)	NUKID	1 year ago	21,352 plays	25 comments	1,031	101
NuKid - Respect [The Prescription Records]	NUKID	2 years ago	60,587 plays	49 comments	1,897	273
Sudden (feat. Moeazy)	NUKID	2 years ago	4,985 plays	4 comments	189	20
